Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
Forster's Tern (Sterna forsteri),2,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Red-shouldered Hawk (Buteo lineatus),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Acorn Woodpecker (Melanerpes formicivorus),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Western Wood-Pewee (Contopus sordidulus),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Common Raven (Corvus corax),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Bushtit (Psaltriparus minimus),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Wrentit (Chamaea fasciata),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
House Wren (Troglodytes aedon),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Lesser Goldfinch (Spinus psaltria),3,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Song Sparrow (Melospiza melodia),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
California Towhee (Melozone crissalis),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Spotted Towhee (Pipilo maculatus),5,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,
Black-headed Grosbeak (Pheucticus melanocephalus),1,Lake Hodges--Del Dios area (west end),Traveling,"May 6, 2024",9:08 AM,48 minute(s),0.53 mile(s),,,1,true,13 species,vocalizing from tree
